kode_ruang,nama,email
19990010,Maria Stephens,mstephens0@linkedin.com
19880006,Sarah Long,slong1@slate.com
19890010,Andrea Bailey,abailey2@slideshare.net
19980109,Peter White,pwhite3@google.ca
19890009,Brian Clark,bclark4@goo.gl
19990109,Kelly Hart,khart5@statcounter.com
19880009,Roger George,rgeorge6@oakley.com
19990010,Marie Young,myoung7@networkadvertising.org
19880008,David Carr,dcarr8@unesco.org
19890010,Shawn Reed,sreed9@globo.com
19980110,Virginia Owens,vowensa@utexas.edu
19880109,Juan Edwards,jedwardsb@list-manage.com
19840008,Matthew Morales,mmoralesc@free.fr
19890110,Rebecca Reed,rreedd@dot.gov
19990006,Christina Jordan,cjordane@edublogs.org
19880010,Douglas Gomez,dgomezf@fema.gov
19890110,Shirley Bennett,sbennettg@hexun.com
19880008,Anthony Jacobs,ajacobsh@freewebs.com
19880110,Douglas Price,dpricei@desdev.cn
19890010,Keith Collins,kcollinsj@theglobeandmail.com
19880010,Andrew Castillo,acastillok@ow.ly
19990009,Amy Daniels,adanielsl@techcrunch.com
19870010,Gloria Snyder,gsnyderm@hc360.com
19990109,Denise Woods,dwoodsn@printfriendly.com
19860010,Patricia Thompson,pthompsono@reuters.com
19890010,Kathy Hunt,khuntp@plala.or.jp
19990010,Helen Lawrence,hlawrenceq@php.net
19970110,Deborah Morales,dmoralesr@tinypic.com
19890109,Norma Day,ndays@linkedin.com
19890107,Jeffrey Robinson,jrobinsont@sfgate.com
19940109,Eric Campbell,ecampbellu@fotki.com
19890109,Nancy Reyes,nreyesv@cyberchimps.com
19990009,Doris Day,ddayw@time.com
19890010,Deborah Brown,dbrownx@nationalgeographic.com
19970010,Aaron Russell,arusselly@typepad.com
19880110,Joe Nelson,jnelsonz@sogou.com
19970010,Evelyn Mason,emason10@ucsd.edu
19990010,Jean Garcia,jgarcia11@telegraph.co.uk
19980108,Christina Grant,cgrant12@infoseek.co.jp
19960110,Elizabeth Olson,eolson13@ning.com
19980110,Stephanie Alvarez,salvarez14@narod.ru
19890005,Eric Carter,ecarter15@slate.com
19890010,Heather Ortiz,hortiz16@people.com.cn
19870109,Kathleen Spencer,kspencer17@biblegateway.com
19890107,Kenneth Robinson,krobinson18@squidoo.com
19990108,Albert Bennett,abennett19@123-reg.co.uk
19880010,Margaret Snyder,msnyder1a@amazon.co.jp
19890010,Norma Richards,nrichards1b@t.co
19880010,Emily Medina,emedina1c@washingtonpost.com
19960008,Ashley Rose,arose1d@businesswire.com
