id_wali,nama,alamat,no_telepon
2012001,Chris Arnold,Sedayulawas,815-43-1095
2012002,Ernest Patterson,Partille,591-04-5829
2012003,Jane Thompson,Sierpc,385-13-0632
2014004,John Moreno,Vykhino-Zhulebino,540-09-0927
2014005,Donna Gomez,Santiago De Compostela,930-11-5804
2011006,Mark Collins,Berezayka,261-35-7302
2012007,Steve Powell,Zalantun,373-43-2790
2013008,Justin Ramirez,Dadamtu,134-67-7375
2011009,Joseph Snyder,Yingchuan,727-53-5202
2014010,Judith Hanson,München,556-00-8966
2012011,Norma Allen,Hokor,240-05-9775
2012012,Cynthia Lynch,Rehoboth,426-80-9593
2013013,Phillip Fox,Roanne,770-62-6465
2013014,Cynthia Lee,Norak,757-71-7854
2012015,Martin Castillo,Alpedrinha,857-31-2496
2013016,Sarah Fuller,Tualeu,934-40-6471
2014017,Brenda Harrison,Perechyn,906-83-5082
2011018,Harry Perkins,Dacudao,986-63-9522
2014019,Lillian Coleman,San Francisco,237-45-4095
2011020,Christopher Wheeler,Concordia,555-05-6168
2011021,Shawn Gordon,Si That,251-73-9581
2014022,Steve Hicks,Newtown,144-90-3224
2013023,Christine Robinson,Pimentel,712-46-4552
2012024,Katherine Cooper,Pinghu,986-75-1306
2013025,Robert Coleman,Tosontsengel,213-53-9490
2011026,Kevin Perez,Yima,859-74-5609
2014027,Jimmy Shaw,Nong Don,739-52-6629
2014028,Joan Medina,Nanyanchuan,875-28-8679
2012029,Donald Allen,Barreirinhas,450-08-2965
2012030,Irene Lawson,Covas,648-14-0664
2014031,George Wood,Huangrangping,779-27-1484
2012032,Larry Mendoza,Gujiang,160-65-3530
2012033,Angela Brown,Domartang,620-41-2771
2011034,Phyllis Sanchez,Nemours,810-06-8131
2014035,Thomas Reed,Nanzhen,265-11-1513
2013036,Steven Carroll,Jiaoshi,537-98-8684
2012037,Gerald Cooper,Xuedian,471-13-7961
2014038,Stephen Fisher,Ocuviri,624-77-3328
2012039,Henry Hart,Tlogosari,278-15-1986
2014040,Carolyn Dunn,Cuenca,857-03-6953
2011041,Adam Mitchell,Lapinjärvi,899-17-2429
2011042,Paula Campbell,Kedungasem,546-95-4298
2012043,Kathleen Walker,Angostura,362-29-5485
2011044,Ruth Stanley,Songshi,306-23-1861
2013045,Carol Henry,Sainte-Adèle,553-15-8742
2014046,Andrea Washington,Inabaan Sur,297-23-7061
2014047,Roy Medina,Palmira,792-07-3709
2011048,Judith Taylor,Konobeyevo,844-51-9914
2013049,Tina Alexander,Mukdahan,729-94-9078
2014050,Shawn Nguyen,Agen,646-87-5904
2011051,Stephanie Gibson,Harstad,308-96-3187
2014052,Joyce Webb,Wenfeng Zhen,597-06-3292
2011053,Roger Roberts,Yingcheng,388-36-8482
2014054,Gloria Roberts,Jingouhe,753-98-7124
2013055,Louis Wagner,?liwice,182-04-4001
2013056,David Sanchez,Shibganj,441-86-6757
2013057,Jack Morales,Hakha,344-37-8639
2012058,Mary Mason,Lagoa Vermelha,414-86-5990
2011059,Jerry Hernandez,Shaxi,684-18-8702
2014060,Fred Fuller,?ervená Voda,240-92-8521
2013061,Mildred Parker,Changchi,436-15-9231
2012062,Jeffrey Reynolds,Chóra,743-88-7238
2011063,Marie Castillo,Jiupu,519-35-0620
2013064,Jeffrey Rogers,Chemodanovka,295-59-9319
2014065,Christina Shaw,Ibotirama,449-95-6950
2012066,Irene Hunt,Leuwihalang,619-14-4701
2014067,Pamela Garrett,Bolotnoye,367-22-8362
2011068,Phillip Barnes,Zamora,717-93-1903
2012069,Gregory Stevens,Judita,599-75-6383
2013070,Jose Bryant,Omutninsk,835-15-6425
2012071,Maria Hart,Borehbangle,360-98-3707
2013072,Robin Gray,Mompach,479-33-0860
2014073,Julie Chapman,Engel’-Yurt,691-76-8376
2014074,Lisa Hunter,Ranot,910-43-6168
2014075,Emily Carter,Nogueira do Cravo,698-64-5122
2013076,Julia Burton,Shuangshan,394-98-0864
2013077,Jean Bennett,Hofors,215-00-0465
2014078,Douglas Mills,Barranquilla,243-59-1938
2013079,Carol Martinez,Janowice,357-49-3026
2011080,Daniel Myers,Talisayan,376-59-9013
2014081,Kathleen Franklin,Bah?walpur,998-95-8065
2012082,Martin Cox,Maredakalada,779-93-5590
2011083,Denise Bailey,Busuanga,172-75-9140
2012084,Phyllis Morgan,Belén de Umbría,289-18-9028
2012085,Joyce Green,Fonte da Aldeia,266-58-6460
2014086,Martha Sanchez,Gunung Sugih,124-45-3528
2011087,Walter Mendoza,Carapicuíba,601-85-3227
2014088,Kimberly Johnston,Beylagan,676-67-3581
2011089,Tina Wallace,Chigorodó,251-94-1217
2014090,Ernest Hansen,Saýat,143-61-0435
2013091,Beverly Mcdonald,?q Q?yeh,766-92-4601
2013092,Rachel Ramirez,Viline,679-59-5339
2012093,Ruby Cooper,Kuanfeu,274-96-7604
2012094,Tammy Graham,Kuanda,886-24-8876
2011095,Elizabeth Evans,Novi Sad,382-33-1509
2011096,Martin Perry,Sarandi,368-60-6309
2011097,Antonio Sullivan,Knivsta,912-17-8546
2011098,Matthew Larson,Ban Selaphum,781-43-7557
2013099,Judy Washington,Pandean,148-32-0673
2012100,Mildred Martinez,Xiangba,602-21-6655
